name,INDEX,area,streamflow
03229610,0,5879.026,2818.656627797979
03229500,1,1424.002,580.9995697211438
03228805,2,325.5012,125.74137109967869
03228750,3,169.9686,87.7129395601418
03228500,4,490.9968,244.40213964201104
03228300,5,262.8486,125.08124546066207
03227500,6,4205.12,1924.5366222977514
03220000,7,463.9194,216.62805500040818
03221000,8,2549.06,1062.6778127339123
03219500,9,1469.508,657.8891248707048
03226800,10,1278.311,642.3141169075548
03225500,11,1019.562,448.6656586753518
03223425,12,98.2692,47.12964732447726
